stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
10,1,12.0,22.854322399944067,23.369743299903348,23.353145099943504,23.353145099943504,23.65359709993936,right,12.0,1,1,0.5033281000796705,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
11,1,12.0,23.886224299902096,24.386048199841753,24.386048199841753,24.386048199841753,24.686663799919188,left,-12.0,0,0,0.4918229002505541,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
12,1,13.0,24.904191199922934,25.40458029997535,25.40458029997535,25.40458029997535,25.70320579991676,left,-13.0,1,1,0.5119360000826418,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
13,1,13.0,25.936709199799225,26.43665839987807,26.43665839987807,26.43665839987807,26.736468199873343,right,13.0,1,1,0.76596560026519,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
14,1,13.0,27.220043299952522,27.72063699993305,27.72063699993305,27.72063699993305,28.036902699852362,right,13.0,0,0,0.43571999995037913,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
15,1,14.0,28.187373699853197,28.68759649991989,28.68759649991989,28.68759649991989,28.986762000015005,right,14.0,1,1,0.43598730000667274,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
16,1,14.0,29.15383299998939,29.653919799951836,29.637364499969408,29.637364499969408,29.936867999844253,left,-14.0,1,1,0.4865300999954343,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
17,0.5,14.0,30.153853099793196,30.65395009983331,30.65395009983331,30.65395009983331,30.95341379987076,right,14.0,1,1,0.5368163001257926,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
18,0.5,13.5,31.220607599942014,31.73675819998607,31.719676699955016,31.719676699955016,32.019746399950236,right,13.5,0,0,0.31318249995820224,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
19,0.5,14.0,32.053327299887314,32.55401199986227,32.536425799829885,32.536425799829885,32.83715289994143,left,-14.0,1,1,0.5892203003168106,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
20,0.5,14.0,33.153897299896926,33.65403539990075,33.65403539990075,33.65403539990075,33.95376539998688,left,-14.0,1,1,0.5025669001042843,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
21,0.5,14.0,34.18728600000031,34.68724489980377,34.670500699896365,34.670500699896365,34.96963969990611,right,14.0,1,1,0.8151348002720624,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
22,0.5,13.5,35.503554799826816,36.00328169995919,36.00328169995919,36.00328169995919,36.303353999974206,right,13.5,0,0,0.4332403000444174,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
23,0.5,14.0,36.454177299980074,36.95348629984073,36.95348629984073,36.95348629984073,37.253986299969256,left,-14.0,1,1,0.7828951000701636,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
