stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,0.5,5.5,54.78684760024771,55.269232999999076,55.269232999999076,55.287155700381845,right,5.5,1,1,0.5231665000319481,55.56994860013947,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
22,0.5,5.5,55.821678600274026,56.30260950000957,56.30260950000957,56.33537560002878,right,5.5,1,1,0.39052410004660487,56.60223980015144,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
23,0.5,5.0,56.72165390010923,57.20225700037554,57.20225700037554,57.23661800008267,right,5.0,1,1,0.6092059998773038,57.50237610004842,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
24,0.5,5.0,57.83642109995708,58.33650080021471,58.33650080021471,58.33650080021471,left,-5.0,1,1,0.37673209980130196,58.63641120027751,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
25,0.5,5.0,58.73525300016627,59.236374400090426,59.236374400090426,59.236374400090426,right,5.0,1,1,0.45774960005655885,59.5354472999461,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
26,0.5,4.5,59.720441800076514,60.2022901000455,60.2022901000455,60.236630599945784,left,-4.5,1,1,0.37098539993166924,60.502180099952966,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
27,0.5,4.5,60.60227880021557,61.102212900295854,61.102212900295854,61.102212900295854,left,-4.5,0,0,0.31647419976070523,61.402433400042355,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
28,0.5,5.0,61.43563860002905,61.93515110015869,61.93515110015869,61.93515110015869,left,-5.0,1,1,0.6593614998273551,62.23728170013055,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
29,0.5,5.0,62.62111940002069,63.10262190038338,63.10262190038338,63.1357150003314,right,5.0,0,0,0.4255087994970381,63.40235260035843,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
30,0.5,5.5,63.55463260039687,64.035113400314,64.035113400314,64.0701677002944,right,5.5,0,0,0.40843479987233877,64.33681790018454,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
31,0.5,6.0,64.46960790036246,64.96968660037965,64.96968660037965,64.96968660037965,right,6.0,1,1,0.29392819991335273,65.26964300032705,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
